# id network 	 title 
# Community0
481	Macri ordenó investigar irregularidades en datos del comercio exterior
482	La base militar china en Neuquén no podrá usarse con fines militares
488	Macri: "Vinimos a China a convocar a inversores, no a vender el país"
489	Ante sus pares, el Presidente reclamó reglas de juego claras y el fin del proteccionismo
490	Fuera del protocolo
491	Cerró un acuerdo energético con Putin y afianzó lazos con España
542	Biden destacó la nueva "alianza" entre EE.UU. y la Argentina
# Community12
19	Prepara la CGT la escena para la unidad, pero siguen las diferencias
20	Huguito Moyano: “Si el Gobierno no corrige el rumbo habrá una reacción sindical”
263	Tras cuatro años, la CGT se reunifica e inicia una nueva etapa más endurecida
265	Carlos Acuña: "El Gobierno se maneja con tozudez"
281	Advirtió la CGT unificada por la política económica, pero no llamó a un paro
282	Un movimiento de piezas que puede agilizar la interna del PJ
283	Macri: "Algunos ponen palos en la rueda"
366	Un pacto con Moyano para garantizar la paz social
462	El Gobierno y las dos caras de la protesta
517	La CGT cruzó al Gobierno por su negativa a reabrir las paritarias
533	La CGT acordó con piqueteros y avanza hacia un paro nacional
548	La cúpula de la CGT acordó poner en marcha un paro nacional, pero no definió fecha
591	El Gobierno busca neutralizar el paro sindical
617	La CGT plantea reconstruir el PJ y exige que haya internas
625	Ante la presión por un paro, Macri les pidió prudencia a los gremios
661	CGT: insiste Venegas en impugnar al triunvirato
759	La CGT pone en suspenso el paro, a la espera de ser recibida por el Presidente
791	Retroceso de Moyano en el comité arbitral
792	La CGT avanzó hacia un paro, pero le dejó una puerta abierta al Gobierno
921	Detrás de escena, Moyano, Barrionuevo y Caló jugaron para congelar el paro
1082	Pablo Moyano medita su renuncia
# Community13
32	Vidal arma una mesa para contener los reclamos de la UCR
71	El Gobierno busca aplacar las quejas de la UCR con un "operativo seducción"
72	Malestar de radicales cordobeses por los coqueteos con Schiaretti
73	En Santa Fe comienza a cambiar hoy el mapa de alianzas políticas
85	El Gobierno hizo un gesto de acercamiento al radicalismo
168	Los roces con Monzó complican el armado de Cambiemos
203	La UCR estará en el timbreo de Cambiemos
243	Macri rearma la estrategia y margina a Aranguren de la organización de las audiencias
252	En Córdoba, Peña prometió fondos para calmar a sus aliados
257	Todo el oficialismo salió a timbrear
290	Santa Fe avanza con la reforma constitucional
306	Pro reúne a su tropa en San Juan para dar un mensaje de unidad
359	Gestos de unidad y limitada autocrítica en la cumbre de Pro
360	Reencuentro público entre Vidal y Carrió
388	Susto: el viento de San Juan que preocupó al Gobierno
512	La UCR apoya, pero pide rebajas en las naftas
539	Cambiemos arma su mesa en la provincia
550	Vidal empezó a bocetar el 2017 con un encuentro para afianzar Cambiemos
# Community14
137	Tras un acto cargado de tensiones, agredieron el vehículo de Macri
138	El Gobierno responsabilizó a un sector del kirchnerismo por las hostilidades
159	La Justicia investigará la agresión que sufrió Macri en Mar del Plata
202	Reforzarán la seguridad de Macri para evitar agresiones
214	Una nueva amenaza de bomba en la Casa Rosada activó la seguridad oficial
215	Operativo en Mendoza por una intimidación telefónica al Presidente
231	Agresión a Macri: graves denuncias de un juez
287	Amenazas a Vidal: investigarán en el Servicio Penitenciario
294	El Gobierno cree que las amenazas a Macri y a Vidal están relacionadas
295	Desalojan la gobernación por otra amenaza
318	En el gobierno de Vidal vinculan las amenazas a las mafias locales
333	El kirchnerismo ya no disimula su negocio: agitar la calle y tratar de forzar al Presidente
334	Designan un cuerpo de fiscales para investigar las amenazas a Macri y Vidal
372	Denuncian un nuevo plan para atentar contra Vidal
413	Preocupa el tenor de las nuevas amenazas a Vidal
440	Un detenido por las amenazas al Presidente
499	Triple fuga: siguen libres los policías implicados
